,subject,feature_shuffle,trialnum,correlation
216,sub05,ling_word_target,54,0.010452489138835933
217,sub05,ling_word_dis,54,0.035052585752252716
218,sub05,ling_phone_target,54,0.0526636036354131
219,sub05,ling_phone_dis,54,0.05520821382357675
220,sub05,ling_word_target,55,-0.012323304958222083
221,sub05,ling_word_dis,55,-0.0503175230261364
222,sub05,ling_phone_target,55,0.007055544846632754
223,sub05,ling_phone_dis,55,0.004192624768729362
224,sub05,ling_word_target,56,0.007118792282753006
225,sub05,ling_word_dis,56,-0.04715269061316402
226,sub05,ling_phone_target,56,0.06192564558322122
227,sub05,ling_phone_dis,56,-0.0011628862886890567
228,sub05,ling_word_target,57,0.06741853012721888
229,sub05,ling_word_dis,57,0.05124625322924611
230,sub05,ling_phone_target,57,0.013357714498217712
231,sub05,ling_phone_dis,57,-0.01750806927636855
232,sub05,ling_word_target,58,-0.005493356549886468
233,sub05,ling_word_dis,58,-0.0026203639170587
234,sub05,ling_phone_target,58,0.005868475415871218
235,sub05,ling_phone_dis,58,-0.005721012381726329
236,sub05,ling_word_target,59,-0.08006360171564365
237,sub05,ling_word_dis,59,-0.0003908801841463771
238,sub05,ling_phone_target,59,-0.0057005845268279995
239,sub05,ling_phone_dis,59,-0.07785627394639696
240,sub05,ling_word_target,60,-0.010573294732714728
241,sub05,ling_word_dis,60,-0.004744185884218681
242,sub05,ling_phone_target,60,-0.0035470585886636465
243,sub05,ling_phone_dis,60,-0.06243566484234709
244,sub05,ling_word_target,61,-0.0027217064783174104
245,sub05,ling_word_dis,61,0.129246108605686
246,sub05,ling_phone_target,61,0.029678404625743775
247,sub05,ling_phone_dis,61,0.014559441554360852
248,sub05,ling_word_target,62,-0.004672147730296693
249,sub05,ling_word_dis,62,0.09514988819710758
250,sub05,ling_phone_target,62,0.05096526222441289
251,sub05,ling_phone_dis,62,0.03798737931691455
252,sub05,ling_word_target,63,-0.00796390378885068
253,sub05,ling_word_dis,63,-0.05017003243023097
254,sub05,ling_phone_target,63,-0.016818391066201983
255,sub05,ling_phone_dis,63,-0.011425735505306156
256,sub05,ling_word_target,64,-0.04903015354080887
257,sub05,ling_word_dis,64,0.21636412010595965
258,sub05,ling_phone_target,64,-0.0015799703142618823
259,sub05,ling_phone_dis,64,0.1002442507721287
260,sub05,ling_word_target,65,0.009142269633520172
261,sub05,ling_word_dis,65,-0.014733620900146665
262,sub05,ling_phone_target,65,0.05039834859830651
263,sub05,ling_phone_dis,65,-0.007674933968319131
264,sub05,ling_word_target,66,0.025008754302998922
265,sub05,ling_word_dis,66,0.018902828887561566
266,sub05,ling_phone_target,66,-0.010493298248564927
267,sub05,ling_phone_dis,66,0.06411189778005917
268,sub05,ling_word_target,67,-0.0014123238180461222
269,sub05,ling_word_dis,67,-0.004310573554900812
270,sub05,ling_phone_target,67,-0.19062079427275413
271,sub05,ling_phone_dis,67,0.06276212613823645
272,sub05,ling_word_target,68,0.026262286377569936
273,sub05,ling_word_dis,68,-0.04672735090907534
274,sub05,ling_phone_target,68,-0.03631921151439933
275,sub05,ling_phone_dis,68,-0.03792316914912799
276,sub05,ling_word_target,69,-0.02915203119336761
277,sub05,ling_word_dis,69,0.03231065325891394
278,sub05,ling_phone_target,69,-0.03650906064138108
279,sub05,ling_phone_dis,69,-0.03471776995351364
280,sub05,ling_word_target,70,-0.020891709430921654
