,words,surprisal,entropy,id,word_order,surprisal_new
371,Bergen,8.148595809936523,11.17539119720459,112,3,8.148595809936523
372,kann,8.597888946533203,7.484285354614258,112,4,8.597888946533203
373,man,1.7833545207977295,5.123144149780273,112,5,1.7833545207977295
374,Ski,10.73990249633789,8.02426528930664,112,6,10.73990249633789
375,laufen,4.361828804016113,3.4537227153778076,112,7,4.361828804016113
376,Am,19.10317039489746,8.896342277526855,156,1,
377,Himmel,9.766536712646484,9.972537994384766,156,2,9.766536712646484
378,fliegt,7.7450361251831055,8.566171646118164,156,3,7.7450361251831055
379,ein,3.0436127185821533,6.95424222946167,156,4,3.0436127185821533
380,Schwarm,8.887224319158122,10.309672880917788,156,5,8.887224319158122
381,Zugvögel,11.65282890573144,7.355209320783615,156,6,11.65282890573144
382,vorbei,4.428427696228027,5.366551876068115,156,7,4.428427696228027
383,Der,18.26059341430664,8.896342277526855,140,1,
384,Termin,12.229376792907715,11.863557815551758,140,2,12.229376792907715
385,des,5.173105239868164,5.83821439743042,140,3,5.173105239868164
386,Treffpunkts,13.885156393051147,12.206912517547607,140,4,13.885156393051147
387,wird,5.555561542510986,6.624663352966309,140,5,5.555561542510986
388,noch,5.267476558685303,6.859536647796631,140,6,5.267476558685303
389,abgesprochen,11.682457000017166,6.400660514831543,140,7,11.682457000017166
390,Die,17.841373443603516,8.896342277526855,178,1,
391,Sonne,10.431958198547363,12.353851318359375,178,2,10.431958198547363
392,strahlt,7.1544904708862305,6.8475117683410645,178,3,7.1544904708862305
393,am,3.8544394969940186,6.450398921966553,178,4,3.8544394969940186
394,wolkenlosen,17.469206243753433,9.304838359355927,178,5,17.469206243753433
395,Himmel,0.47151488065719604,2.458770751953125,178,6,0.47151488065719604
396,Die,17.841373443603516,8.896342277526855,189,1,
397,Uhr,11.589212417602539,12.353851318359375,189,2,11.589212417602539
398,tickt,6.402543932199478,8.018409132957458,189,3,6.402543932199478
399,ruhig,11.194345474243164,5.002845287322998,189,4,11.194345474243164
400,an,7.868368625640869,4.445033550262451,189,5,7.868368625640869
401,der,1.410555362701416,4.444516181945801,189,6,1.410555362701416
402,Wand,3.81787371635437,8.843481063842773,189,7,3.81787371635437
403,Zwölf,28.456396102905273,8.896342277526855,163,1,
404,Wanderer,14.476675987243652,9.106013298034668,163,2,14.476675987243652
405,wollen,7.652966499328613,7.786705017089844,163,3,7.652966499328613
406,den,4.130702018737793,7.545481204986572,163,4,4.130702018737793
407,Gipfel,6.512172698974609,10.148252487182617,163,5,6.512172698974609
408,erklimmen,3.358512468636036,5.648875385522842,163,6,3.358512468636036
409,Löst,29.631600379943848,19.416337966918945,64,1,
410,doch,11.503037452697754,7.9673614501953125,64,2,11.503037452697754
411,die,3.848928689956665,7.1583757400512695,64,3,3.848928689956665
412,Fahrkarten,15.912137508392334,18.69470453262329,64,4,15.912137508392334
413,am,7.572386264801025,5.876886367797852,64,5,7.572386264801025
414,Schalter!,6.955841302871704,11.339261531829834,64,6,6.955841302871704
415,Im,18.795394897460938,8.896342277526855,5,1,
416,Wald,9.5751953125,10.13779354095459,5,2,9.5751953125
417,plätschert,17.69515535235405,17.205913066864014,5,3,17.69515535235405
418,eine,4.49757719039917,5.531336307525635,5,4,4.49757719039917
419,dunkle,8.002593040466309,10.265737533569336,5,5,8.002593040466309
420,Quelle,8.119548797607422,7.763119220733643,5,6,8.119548797607422
421,Die,17.841373443603516,8.896342277526855,206,1,
422,Musik,10.160914421081543,12.353851318359375,206,2,10.160914421081543
423,erklingt,11.125269163399935,8.529298603534698,206,3,11.125269163399935
424,sanft,8.327799797058105,6.594292163848877,206,4,8.327799797058105
425,im,4.466048717498779,4.007755279541016,206,5,4.466048717498779
426,Raum,3.90939998626709,7.900315761566162,206,6,3.90939998626709
427,Der,18.26059341430664,8.896342277526855,213,1,
428,Nachbar,12.161871910095215,11.863557815551758,213,2,12.161871910095215
429,sang,13.849175453186035,8.925731658935547,213,3,13.849175453186035
430,unter,9.637847900390625,7.080657958984375,213,4,9.637847900390625
431,der,1.9047892093658447,5.060583114624023,213,5,1.9047892093658447
432,Dusche,5.936734676361084,7.32929801940918,213,6,5.936734676361084
433,Oper,14.947471618652344,6.086202144622803,213,7,14.947471618652344
434,Ein,18.193517684936523,8.896342277526855,217,1,
435,bunter,20.20849895477295,21.72451686859131,217,2,20.20849895477295
436,Schmetterling,8.885390281677246,8.984882354736328,217,3,8.885390281677246
437,tanzt,10.13815689086914,6.555981636047363,217,4,10.13815689086914
438,im,4.378085136413574,6.1702880859375,217,5,4.378085136413574
439,Sonnenlicht,9.634377211332321,11.62051510810852,217,6,9.634377211332321
440,Durch,20.922212600708008,8.896342277526855,13,1,
441,den,4.164959907531738,6.737635612487793,13,2,4.164959907531738
442,Regen,9.424359321594238,10.838671684265137,13,3,9.424359321594238
443,leuchtet,16.078401565551758,8.197505950927734,13,4,16.078401565551758
444,das,2.8744940757751465,5.160632133483887,13,5,2.8744940757751465
445,Feuer,7.7639875411987305,9.092049598693848,13,6,7.7639875411987305
446,Unser,23.488920211791992,8.896342277526855,93,1,
447,Doktor,17.538593292236328,8.851284980773926,93,2,17.538593292236328
448,besucht,13.413021087646484,8.671995162963867,93,3,13.413021087646484
449,Vater,11.535162925720215,7.141347885131836,93,4,11.535162925720215
450,täglich,10.921418190002441,7.876035690307617,93,5,10.921418190002441
451,Unserer,29.03703737258911,17.74762725830078,107,1,
452,Tante,13.976802825927734,11.302183151245117,107,2,13.976802825927734
453,fehlt,12.411294937133789,9.65543270111084,107,3,12.411294937133789
454,gar,7.06397819519043,6.1566162109375,107,4,7.06397819519043
455,nichts,0.5770264863967896,2.4082555770874023,107,5,0.5770264863967896
456,Böse,25.765317916870117,19.039607048034668,78,1,
457,Menschen,9.287423133850098,8.051026344299316,78,2,9.287423133850098
458,verdienen,11.294363975524902,8.267073631286621,78,3,11.294363975524902
459,ihre,6.914031028747559,7.850876331329346,78,4,6.914031028747559
460,Strafe,5.099333763122559,9.598358154296875,78,5,5.099333763122559
461,Ein,18.193517684936523,8.896342277526855,214,1,
462,leiser,15.269964218139648,11.972281455993652,214,2,15.269964218139648
463,Windhauch,15.00806372333318,15.847802512347698,214,3,15.00806372333318
464,streift,10.009802103042603,9.594506740570068,214,4,10.009802103042603
465,die,3.276479959487915,4.993448257446289,214,5,3.276479959487915
466,Wiesen,9.260902404785156,10.71008014678955,214,6,9.260902404785156
467,Der,18.26059341430664,8.896342277526855,169,1,
468,alte,10.052489280700684,11.863557815551758,169,2,10.052489280700684
469,Baum,6.876526832580566,10.464167594909668,169,3,6.876526832580566
470,knarrt,14.427504062652588,9.685792922973633,169,4,14.427504062652588
471,bei,6.464542388916016,5.707156658172607,169,5,6.464542388916016
472,jedem,5.438339710235596,7.817836761474609,169,6,5.438339710235596
473,Windstoß,10.68696665763855,11.253730297088623,169,7,10.68696665763855
474,Die,17.841373443603516,8.896342277526855,33,1,
475,Sonne,10.431958198547363,12.353851318359375,33,2,10.431958198547363
476,scheint,4.918088436126709,6.8475117683410645,33,3,4.918088436126709
477,am,3.8457493782043457,6.757388591766357,33,4,3.8457493782043457
478,blauen,9.193828582763672,6.690805912017822,33,5,9.193828582763672
479,Himmel,0.12735724449157715,0.7759743332862854,33,6,0.12735724449157715
480,Die,17.841373443603516,8.896342277526855,183,1,
481,Treppe,13.736370086669922,12.353851318359375,183,2,13.736370086669922
482,führt,5.958118438720703,7.06640625,183,3,5.958118438720703
483,ins,4.582635402679443,5.295040607452393,183,4,4.582635402679443
484,kuschelige,14.662560546770692,13.219524279236794,183,5,14.662560546770692
485,Schlafzimmer,3.821770668029785,8.272889137268066,183,6,3.821770668029785
486,Das,18.880918502807617,8.896342277526855,174,1,
487,Fahrrad,11.100773811340332,10.476740837097168,174,2,11.100773811340332
488,rollt,8.431753158569336,7.434080123901367,174,3,8.431753158569336
489,leise,10.363758087158203,7.082397937774658,174,4,10.363758087158203
490,über,3.8166327476501465,5.406844139099121,174,5,3.8166327476501465
491,Kopfsteinpflaster,15.612285360693932,8.775913506746292,174,6,15.612285360693932
492,Am,19.10317039489746,8.896342277526855,42,1,
493,blauen,15.75291919708252,9.972537994384766,42,2,15.75291919708252
494,Himmel,5.474097728729248,9.808736801147461,42,3,5.474097728729248
495,ziehen,10.761554718017578,8.095654487609863,42,4,10.761554718017578
496,die,2.374051570892334,7.290371417999268,42,5,2.374051570892334
497,Wolken,3.899606704711914,9.78251838684082,42,6,3.899606704711914
498,Senioren,29.162474155426025,18.27475070953369,234,1,
499,machen,10.111557006835938,9.264995574951172,234,2,10.111557006835938
500,morgendliche,22.46473017334938,14.28802752494812,234,3,22.46473017334938
501,Gymnastik,6.193582057952881,7.180398941040039,234,4,6.193582057952881
502,im,4.931023120880127,4.491951942443848,234,5,4.931023120880127
503,Park,5.2828826904296875,8.590553283691406,234,6,5.2828826904296875
504,Ein,18.193517684936523,8.896342277526855,147,1,
505,primitiver,18.57241439819336,13.360612750053406,147,2,18.57241439819336
506,Mensch,5.759706020355225,10.842717170715332,147,3,5.759706020355225
507,wird,6.269317150115967,6.947860240936279,147,4,6.269317150115967
508,keine,8.35600471496582,8.41347885131836,147,5,8.35600471496582
509,Scheu,9.476546287536621,15.762708187103271,147,6,9.476546287536621
510,kennen,9.187207221984863,2.7334470748901367,147,7,9.187207221984863
511,Wild,23.5024471282959,8.896342277526855,6,1,
512,pfeift,20.900712490081787,12.413488864898682,6,2,20.900712490081787
513,der,5.361660480499268,7.838319778442383,6,3,5.361660480499268
514,Wind,4.221348762512207,10.052495956420898,6,4,4.221348762512207
515,durch,5.659083843231201,6.423492431640625,6,5,5.659083843231201
516,die,1.174446702003479,4.349084854125977,6,6,1.174446702003479
517,Wände,8.90900707244873,9.619235038757324,6,7,8.90900707244873
518,Fünf,24.792808532714844,8.896342277526855,131,1,
519,Filmtitel,19.530807495117188,17.014016151428223,131,2,19.530807495117188
520,müssen,9.642609596252441,6.774543762207031,131,3,9.642609596252441
521,wir,6.054451942443848,8.160033226013184,131,4,6.054451942443848
522,aufschreiben,9.801387310028076,15.346218585968018,131,5,9.801387310028076
523,Die,17.841373443603516,8.896342277526855,36,1,
524,Freunde,12.50234317779541,12.353851318359375,36,2,12.50234317779541
525,schauten,13.8319810628891,11.730907440185547,36,3,13.8319810628891
526,verwirrt,12.279855728149414,6.571958541870117,36,4,12.279855728149414
527,auf,3.6555585861206055,5.215112686157227,36,5,3.6555585861206055
528,ihr,5.6334967613220215,4.246931076049805,36,6,5.6334967613220215
529,Getränk,12.979921340942383,6.439548015594482,36,7,12.979921340942383
530,Die,17.841373443603516,8.896342277526855,187,1,
531,Wolken,13.649327278137207,12.353851318359375,187,2,13.649327278137207
532,malen,16.249977111816406,8.339712142944336,187,3,16.249977111816406
533,Geschichten,13.258459091186523,5.364497184753418,187,4,13.258459091186523
534,am,8.778038024902344,4.885866165161133,187,5,8.778038024902344
535,Himmel,0.8948274254798889,4.88498592376709,187,6,0.8948274254798889
536,Die,17.841373443603516,8.896342277526855,250,1,
537,Freunde,12.50234317779541,12.353851318359375,250,2,12.50234317779541
538,treffen,10.583637237548828,6.040496826171875,250,3,10.583637237548828
539,sich,0.7268698811531067,4.069108009338379,250,4,0.7268698811531067
540,am,2.729706287384033,6.07428503036499,250,5,2.729706287384033
541,See,10.279786109924316,6.283270835876465,250,6,10.279786109924316
542,Es,18.274593353271484,8.896342277526855,114,1,
543,wird,5.009408950805664,9.535748481750488,114,2,5.009408950805664
544,auch,5.264883995056152,8.710729598999023,114,3,5.264883995056152
545,da,10.25925064086914,8.115331649780273,114,4,10.25925064086914
546,chinesisch,18.80667218565941,9.752294898033142,114,5,18.80667218565941
547,gesprochen,3.6440954208374023,7.100309371948242,114,6,3.6440954208374023
548,Der,18.26059341430664,8.896342277526855,210,1,
549,Regenbogen,16.11282730102539,11.863557815551758,210,2,16.11282730102539
550,endete,16.219074249267578,7.628067493438721,210,3,16.219074249267578
551,im,4.642108917236328,6.623707294464111,210,4,4.642108917236328
552,Blumentopf,13.08983812481165,14.893281519412994,210,5,13.08983812481165
553,Die,17.841373443603516,8.896342277526855,153,1,
554,Melodie,15.276640892028809,12.353851318359375,153,2,15.276640892028809
555,klingt,7.970864295959473,7.162233829498291,153,3,7.970864295959473
556,nach,5.199459552764893,7.828848838806152,153,4,5.199459552764893
557,Sommer,9.982829093933105,9.026695251464844,153,5,9.982829093933105
558,Fünf,24.792808532714844,8.896342277526855,14,1,
559,Freunde,9.750222206115723,8.818887710571289,14,2,9.750222206115723
560,wollen,8.155763626098633,7.805230617523193,14,3,8.155763626098633
561,die,4.500009536743164,8.697731971740723,14,4,4.500009536743164
562,Welt,2.990478754043579,10.463363647460938,14,5,2.990478754043579
563,bereisen,7.14906794577837,3.3469892740249634,14,6,7.14906794577837
564,Die,17.841373443603516,8.896342277526855,243,1,
565,Bäckerin,19.57594060897827,22.176549434661865,243,2,19.57594060897827
566,singt,14.422754287719727,7.4752678871154785,243,3,14.422754287719727
567,fröhlich,8.953498840332031,7.432411193847656,243,4,8.953498840332031
568,beim,9.445406913757324,5.385462284088135,243,5,9.445406913757324
569,Brötchenbacken,18.19055870930606,14.227479535795283,243,6,18.19055870930606
570,Leise,26.878501892089844,19.416337966918945,67,1,
571,rollen,15.114686012268066,8.951584815979004,67,2,15.114686012268066
572,wir,5.242596626281738,6.694339752197266,67,3,5.242596626281738
573,aus,7.827346324920654,6.926085472106934,67,4,7.827346324920654
574,dem,1.914556860923767,5.045051097869873,67,5,1.914556860923767
575,Bahnhof,6.9119038581848145,10.11790657043457,67,6,6.9119038581848145
576,Wenn,19.751873016357422,8.896342277526855,110,1,
577,der,5.092999458312988,5.797004222869873,110,2,5.092999458312988
578,Schnee,8.993623733520508,11.480271339416504,110,3,8.993623733520508
579,schmilzt,4.812618826515973,7.846904177218676,110,4,4.812618826515973
580,kommt,9.281585693359375,3.1588690280914307,110,5,9.281585693359375
581,der,2.764238119125366,5.855194091796875,110,6,2.764238119125366
582,Frühling,4.28512716293335,7.475700855255127,110,7,4.28512716293335
583,Schulkinder,29.47624635696411,16.9352970123291,108,1,
584,müssen,8.934040069580078,8.374897956848145,108,2,8.934040069580078
585,Rechnen,19.146526992321014,11.850319385528564,108,3,19.146526992321014
586,und,3.020717144012451,3.6763510704040527,108,4,3.020717144012451
587,Schreiben,1.6993483304977417,7.532681465148926,108,5,1.6993483304977417
588,lernen,0.6320639252662659,3.277015447616577,108,6,0.6320639252662659
589,Es,18.274593353271484,8.896342277526855,73,1,
590,gehört,8.86989974975586,9.535748481750488,73,2,8.86989974975586
591,zu,2.232254981994629,6.477744102478027,73,3,2.232254981994629
592,einer,3.8328094482421875,3.7970595359802246,73,4,3.8328094482421875
593,Feldscheune,21.456709584221244,16.985670059919357,73,5,21.456709584221244
594,Vor,20.324384689331055,8.896342277526855,195,1,
595,dem,3.8766980171203613,8.551308631896973,195,2,3.8766980171203613
596,Fenster,10.264361381530762,9.930338859558105,195,3,10.264361381530762
597,summt,14.96192780137062,9.983260154724121,195,4,14.96192780137062
598,eine,3.822709560394287,4.67643928527832,195,5,3.822709560394287
599,kleine,5.540401458740234,8.96027660369873,195,6,5.540401458740234
600,Biene,8.561696380376816,9.021732807159424,195,7,8.561696380376816
601,Englische,28.69249415397644,14.694868087768555,111,1,
602,Kriminalromane,19.82211788929999,11.716076910495758,111,2,19.82211788929999
603,sind,6.134303092956543,6.589078903198242,111,3,6.134303092956543
604,ihm,11.417885780334473,8.620872497558594,111,4,11.417885780334473
605,die,8.444470405578613,6.964169502258301,111,5,8.444470405578613
606,liebste,11.703377723693848,12.913317918777466,111,6,11.703377723693848
607,Lektüre,1.6647683382034302,6.260518550872803,111,7,1.6647683382034302
608,Im,18.795394897460938,8.896342277526855,22,1,
609,Park,10.992694854736328,10.13779354095459,22,2,10.992694854736328
610,traf,13.622249603271484,8.576842308044434,22,3,13.622249603271484
611,ich,4.181976318359375,5.57589054107666,22,4,4.181976318359375
612,meinen,6.403014659881592,6.918325901031494,22,5,6.403014659881592
613,Deutschlehrer,12.635559558868408,9.438859939575195,22,6,12.635559558868408
614,Mein,21.273773193359375,8.896342277526855,216,1,
615,Chef,10.012356758117676,6.385216236114502,216,2,10.012356758117676
616,hat,3.1370115280151367,7.390500068664551,216,3,3.1370115280151367
617,eine,5.424851894378662,6.744319915771484,216,4,5.424851894378662
