,phone,phone_surprisal,phone_entropy,word,target_id,word_order,phone_num
1259,k,1.0519370273856625,0.0033752639981620763,blick,157,2,4
1260,ʃ,,,streifte,157,3,1
1261,t,1.8671573854689671,0.40221135511294975,streifte,157,3,2
1262,r,3.213663562647911,0.11545039998874028,streifte,157,3,3
1263,aɪ,2.3012656430368787,0.014298715656101066,streifte,157,3,4
1264,f,3.0489660289017895,0.002908636148556783,streifte,157,3,5
1265,t,3.255073120131111,0.00037215485007388355,streifte,157,3,6
1266,ə,1.173331602885562,4.456785629560814e-05,streifte,157,3,7
1267,d,,,die,157,4,1
1268,iː,2.650458870553818,1.0747748069098002,die,157,4,2
1269,ʃ,,,sterne,157,5,1
1270,t,1.8671573854689671,0.40221135511294975,sterne,157,5,2
1271,ɛ,2.469833200468762,0.11545039998874028,sterne,157,5,3
1272,ɐ,1.551473628395168,0.019574223433683237,sterne,157,5,4
1273,n,3.0625685669672666,0.006228953093068577,sterne,157,5,5
1274,ə,0.8785206164738181,0.0009220275333392367,sterne,157,5,6
1275,b,,,bei,142,1,1
1276,aɪ,3.612284386926623,0.4881120664797247,bei,142,1,2
1277,k,,,konkurs,142,2,1
1278,ɔ,2.3951927937569466,0.4646733962568012,konkurs,142,2,2
1279,ŋ,7.546836322081597,0.08645391305858115,konkurs,142,2,3
1280,k,1.835408774259967,0.0006813347971960347,konkurs,142,2,4
1281,ʊ,1.631693551066146,0.00020549140717006443,konkurs,142,2,5
1282,ɐ,1.7104933828050162,6.505546832026243e-05,konkurs,142,2,6
1283,s,-0.0,2.0997826850247697e-05,konkurs,142,2,7
1284,k,,,kennt,142,3,1
1285,ɛ,4.120792248845673,0.4646733962568012,kennt,142,3,2
1286,n,0.9426327909498426,0.029122412417980904,kennt,142,3,3
1287,t,2.798907190881791,0.013953687166054439,kennt,142,3,4
1288,d,,,der,142,4,1
1289,eː,2.674012425736514,1.0747748069098002,der,142,4,2
1290,ɐ,0.8765551008297994,0.1530842885872705,der,142,4,3
1291,r,,,richter,142,5,1
1292,ɪ,3.2616670717449563,0.19941777424498747,richter,142,5,2
1293,ç,0.3825854904614057,0.019029800547703524,richter,142,5,3
1294,t,0.1402366863207515,0.013456352032383151,richter,142,5,4
1295,ɐ,4.647986326309411,0.011922520586844933,richter,142,5,5
1296,k,,,keine,142,6,1
1297,aɪ,2.991243122346438,0.4646733962568012,keine,142,6,2
1298,n,0.03171645442661338,0.04413293945789849,keine,142,6,3
1299,ə,0.5597852156508057,0.04235755685069892,keine,142,6,4
1300,ɡ,,,gnade,142,7,1
1301,n,9.790019873805955,0.5701630781764331,gnade,142,7,2
1302,aː,0.8380454400592535,0.0008706580845114372,gnade,142,7,3
1303,d,0.024743050166283566,0.0004620091153554925,gnade,142,7,4
1304,ə,0.00212551794010892,0.00045178590455330104,gnade,142,7,5
1305,d,,,die,240,1,1
1306,iː,2.650458870553818,1.0747748069098002,die,240,1,2
1307,m,,,musiker,240,2,1
1308,uː,8.741671481535295,0.6236366443941769,musiker,240,2,2
1309,z,2.4601560449848705,0.0024217561706303776,musiker,240,2,3
1310,ɪ,0.5674201993675496,0.0004556305715262724,musiker,240,2,4
1311,k,-0.0,0.0002982520352531855,musiker,240,2,5
1312,ɐ,0.7341560605793825,0.0002982520352531855,musiker,240,2,6
1313,ʔ,,,unterhalten,240,3,1
1314,ʊ,3.218766885982564,2.2410487228891505,unterhalten,240,3,2
1315,n,0.2158667483671557,0.23405850554192903,unterhalten,240,3,3
1316,t,0.5033271200424583,0.1929911121652366,unterhalten,240,3,4
1317,ɐ,3.5207336394873914,0.11456322531876688,unterhalten,240,3,5
1318,h,3.7062941974981567,0.021385344929318668,unterhalten,240,3,6
1319,a,0.2958945926798907,0.001774138679412876,unterhalten,240,3,7
1320,l,0.010569241710187133,0.0014023039388178368,unterhalten,240,3,8
1321,t,0.049744311496689245,0.0013878086309583916,unterhalten,240,3,9
1322,ə,0.7601405273379122,0.0013328386900977273,unterhalten,240,3,10
1323,n,0.11802197435696911,0.0007467516558215241,unterhalten,240,3,11
1324,p,,,passanten,240,4,1
1325,a,1.5372796142756289,0.15977039222193734,passanten,240,4,2
1326,s,1.553619206184443,0.04993793701035173,passanten,240,4,3
1327,a,5.3358744521225745,0.015028334450287879,passanten,240,4,4
