,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
5231,Himmel,l,23,6,2.2571201814058957,2.2870975056689344,0.072265625,033,033.csv
5232,Der,d,1,1,0.0,0.03709750566893424,0.5375,034,034.csv
5233,Der,eː,2,1,0.037120181405895694,0.11709750566893425,0.96171875,034,034.csv
5234,Der,ɐ,3,1,0.1171201814058957,0.14709750566893423,0.419921875,034,034.csv
5235,Hund,h,4,2,0.1471201814058957,0.2970975056689342,0.10197368421052631,034,034.csv
5236,Hund,ʊ,5,2,0.2971201814058957,0.42709750566893423,0.4384191176470588,034,034.csv
5237,Hund,n,6,2,0.4271201814058957,0.5670975056689342,0.18229166666666666,034,034.csv
5238,Hund,t,7,2,0.5671201814058957,0.6970975056689342,0.5670955882352942,034,034.csv
5239,bellt,b,8,3,0.8271201814058957,0.8770975056689342,0.010044642857142858,034,034.csv
5240,bellt,ɛ,9,3,0.8771201814058956,0.9470975056689342,0.7890625,034,034.csv
5241,bellt,l,10,3,0.9471201814058957,1.0770975056689343,0.515625,034,034.csv
5242,bellt,t,11,3,1.0771201814058957,1.1170975056689343,0.015625,034,034.csv
5243,vor,f,12,4,1.1171201814058958,1.2470975056689342,0.09972426470588236,034,034.csv
5244,vor,oː,13,4,1.2471201814058956,1.2870975056689342,0.41875,034,034.csv
5245,vor,ɐ,14,4,1.2871201814058957,1.3870975056689343,0.4795673076923077,034,034.csv
5246,dem,d,15,5,1.3871201814058958,1.4170975056689343,0.025390625,034,034.csv
5247,dem,eː,16,5,1.4171201814058958,1.4770975056689342,0.36328125,034,034.csv
5248,dem,m,17,5,1.4771201814058956,1.5670975056689342,0.3203125,034,034.csv
5249,Haus,h,18,6,1.5671201814058957,1.6970975056689341,0.2867647058823529,034,034.csv
5250,Haus,aʊ,19,6,1.6971201814058956,1.9070975056689343,0.6310763888888888,034,034.csv
5251,Haus,s,20,6,1.9071201814058958,2.137097505668934,0.2796336206896552,034,034.csv
5252,Wenn,v,1,1,0.01712018140589569,0.09709750566893424,0.04453125,110,110.csv
5253,Wenn,ɛ,2,1,0.09712018140589569,0.16709750566893425,0.1519097222222222,110,110.csv
5254,Wenn,n,3,1,0.16712018140589568,0.24709750566893424,0.1375,110,110.csv
5255,der,d,4,2,0.2471201814058957,0.27709750566893426,0.607421875,110,110.csv
5256,der,eː,5,2,0.27712018140589567,0.32709750566893425,0.8270089285714286,110,110.csv
5257,der,ɐ,6,2,0.3271201814058957,0.40709750566893427,0.31484375,110,110.csv
5258,Schnee,ʃ,7,3,0.4071201814058957,0.5470975056689342,0.4409722222222222,110,110.csv
5259,Schnee,n,8,3,0.5471201814058957,0.6470975056689342,0.0907451923076923,110,110.csv
5260,Schnee,eː,9,3,0.6471201814058957,0.8370975056689343,0.5865885416666666,110,110.csv
5261,schmilzt,ʃ,10,4,0.8371201814058957,1.0270975056689342,0.6923828125,110,110.csv
5262,schmilzt,m,11,4,1.0271201814058957,1.1370975056689343,0.27511160714285715,110,110.csv
