,word,word_order,start_s,end_s,audibility,ids,filename
796,gibt's,3,1.1271201814058958,1.4770975056689342,0.18412642045454544,096,096.csv
797,frischen,4,1.4771201814058956,1.8870975056689343,0.33924278846153844,096,096.csv
798,Fisch,5,1.8871201814058958,2.3770975056689343,0.45803931451612906,096,096.csv
799,Im,1,0.0,0.25709750566893425,0.33428030303030304,047,047.csv
800,Geschäft,2,0.2571201814058957,0.9170975056689342,0.41208584337349397,047,047.csv
801,stehen,3,0.9171201814058957,1.3670975056689343,0.5597587719298246,047,047.csv
802,viele,4,1.3671201814058958,1.7470975056689342,0.3561197916666667,047,047.csv
803,Leute,5,1.7471201814058956,2.347097505668934,0.3461458333333333,047,047.csv
804,Das,1,0.0,0.22709750566893425,0.23087284482758622,035,035.csv
805,Baby,2,0.2971201814058957,0.9120861678004535,0.26075487012987014,035,035.csv
806,lachte,3,0.912108843537415,1.3970975056689343,0.469390368852459,035,035.csv
807,über,4,1.3971201814058958,1.6070975056689343,0.6018518518518519,035,035.csv
808,die,5,1.6071201814058957,1.7570975056689342,0.21422697368421054,035,035.csv
809,fliegenden,6,1.7571201814058957,2.4370975056689343,0.4256433823529412,035,035.csv
810,Luftballons,7,2.437120181405896,3.3770975056689343,0.4156514830508475,035,035.csv
811,Englische,1,0.0,0.5670975056689342,0.3905149647887324,111,111.csv
812,Kriminalromane,2,0.5671201814058957,1.8970975056689343,0.4394648203592814,111,111.csv
813,sind,3,1.8971201814058958,2.1470975056689343,0.217529296875,111,111.csv
814,ihm,4,2.147120181405896,2.3770975056689343,0.3978987068965517,111,111.csv
815,die,5,2.3771201814058958,2.487097505668934,0.08426339285714286,111,111.csv
816,liebste,6,2.4871201814058956,3.0570975056689345,0.2803819444444444,111,111.csv
817,Lektüre,7,3.0571201814058955,3.8170975056689342,0.4563322368421053,111,111.csv
818,Die,1,0.0,0.08709750566893425,0.12926136363636365,206,206.csv
819,Musik,2,0.0871201814058957,0.7870975056689342,0.30601917613636365,206,206.csv
820,erklingt,3,0.7871201814058957,1.4170975056689343,0.22171677215189872,206,206.csv
821,sanft,4,1.4171201814058958,1.9870975056689342,0.3327907986111111,206,206.csv
822,im,5,1.9871201814058956,2.2270975056689344,0.38255208333333335,206,206.csv
823,Raum,6,2.227120181405896,2.7270975056689344,0.3246527777777778,206,206.csv
824,Zum,1,0.027120181405895692,0.24709750566893424,0.18024553571428573,098,098.csv
825,Ausweis,2,0.2471201814058957,0.9570975056689343,0.4318820224719101,098,098.csv
826,gehört,3,0.9571201814058957,1.3770975056689343,0.32797759433962265,098,098.csv
827,ein,4,1.3771201814058958,1.5770975056689343,0.245625,098,098.csv
828,Lichtbild,5,1.5771201814058957,2.3570975056689343,0.4512914540816326,098,098.csv
829,Vater,1,0.1171201814058957,0.6970975056689342,0.3872003424657534,049,049.csv
830,will,2,0.6971201814058957,0.8470975056689343,0.5719572368421053,049,049.csv
831,sich,3,0.8471201814058957,1.0370975056689342,0.3551432291666667,049,049.csv
832,eine,4,1.0371201814058957,1.3270975056689343,0.39864864864864863,049,049.csv
833,Pfeife,5,1.3271201814058957,1.8970975056689343,0.24131944444444445,049,049.csv
834,anzünden,6,1.8971201814058958,2.7470975056689344,0.3993136682242991,049,049.csv
835,Der,1,0.0,0.12709750566893424,0.5712890625,201,201.csv
836,Briefträger,2,0.1271201814058957,1.1170975056689343,0.4621975806451613,201,201.csv
837,bringt,3,1.1871201814058956,1.5670975056689342,0.3746744791666667,201,201.csv
838,die,4,1.5671201814058957,1.7670975056689342,0.1990625,201,201.csv
839,Post,5,1.7671201814058957,2.387097505668934,0.2649238782051282,201,201.csv
840,Die,1,0.0,0.13709750566893425,0.20616319444444445,032,032.csv
841,Katze,2,0.13712018140589569,0.8570975056689343,0.403125,032,032.csv
842,schläft,3,0.8571201814058957,1.3770975056689343,0.36766826923076923,032,032.csv
843,auf,4,1.3771201814058958,1.5770975056689343,0.26375,032,032.csv
844,dem,5,1.5771201814058957,1.8270975056689343,0.14306640625,032,032.csv
845,Sofa,6,1.8271201814058957,2.427097505668934,0.3890625,032,032.csv
846,Der,1,0.0,0.19709750566893425,0.364375,210,210.csv
847,Regenbogen,2,0.19712018140589568,1.1970975056689341,0.371375,210,210.csv
848,endete,3,1.2971201814058957,2.0370975056689344,0.32820900537634407,210,210.csv
849,im,4,2.0971201814058955,2.3170975056689342,0.3353794642857143,210,210.csv
850,Blumentopf,5,2.3171201814058957,3.237097505668934,0.3360733695652174,210,210.csv
